Metric     	 AMI 	 ARI 	 FMS 	 NMI 
Chebychev  	 0.51 	 0.49 	 0.69 	0.57 
CityBlock  	 0.50 	 0.39 	 0.59 	0.57 
Correlation 	 0.62 	 0.54 	 0.67 	0.69 
Cosine     	 0.61 	 0.53 	 0.67 	0.67 
Euclidean  	 0.51 	 0.42 	 0.61 	0.57 
Hamming    	 0.34 	 0.24 	 0.48 	0.41 
Jaccard    	 0.34 	 0.24 	 0.48 	0.41 
Minkowski  	 0.51 	 0.42 	 0.61 	0.57 
dtw        	 0.47 	 0.36 	 0.58 	0.54 
mt-lmnn    	 0.50 	 0.55 	 0.73 	0.57 
seuclidean 	 0.34 	 0.24 	 0.47 	0.40 
================================================== 
hvalue     	 1.00 	 NaN 	 NaN 	1.00 
pvalue     	 0.00 	 NaN 	 NaN 	0.00 
