Metric     	 AMI 	 ARI 	 FMS 	 NMI 
Chebychev  	 0.27 	 0.24 	 0.54 	0.31 
CityBlock  	 0.25 	 0.24 	 0.55 	0.29 
Correlation 	 0.26 	 0.26 	 0.57 	0.30 
Cosine     	 0.27 	 0.27 	 0.58 	0.31 
Euclidean  	 0.27 	 0.24 	 0.54 	0.31 
Hamming    	 0.25 	 0.25 	 0.58 	0.28 
Jaccard    	 0.25 	 0.25 	 0.58 	0.28 
Minkowski  	 0.27 	 0.24 	 0.54 	0.31 
dtw        	 0.32 	 0.32 	 0.60 	0.37 
mt-lmnn    	 0.25 	 0.22 	 0.60 	0.31 
seuclidean 	 0.29 	 0.30 	 0.60 	0.34 
================================================== 
hvalue     	 0.00 	 1.00 	 0.00 	0.00 
pvalue     	 0.02 	 0.01 	 0.40 	0.04 
