Metric     	 AMI 	 ARI 	 FMS 	 NMI 
Chebychev  	 0.76 	 0.76 	 0.87 	0.85 
CityBlock  	 0.74 	 0.75 	 0.87 	0.83 
Correlation 	 0.24 	 0.28 	 0.62 	0.29 
Cosine     	 0.33 	 0.35 	 0.65 	0.38 
Euclidean  	 0.76 	 0.76 	 0.87 	0.85 
Hamming    	 0.33 	 0.36 	 0.66 	0.39 
Jaccard    	 0.33 	 0.36 	 0.66 	0.39 
Minkowski  	 0.76 	 0.76 	 0.87 	0.85 
dtw        	 0.73 	 0.77 	 0.88 	0.81 
mt-lmnn    	 0.76 	 0.76 	 0.87 	0.85 
seuclidean 	 0.21 	 0.21 	 0.62 	0.27 
================================================== 
hvalue     	 0.00 	 0.00 	 0.00 	0.00 
pvalue     	 0.20 	 0.42 	 0.32 	0.08 
