Metric     	 AMI 	 ARI 	 FMS 	 NMI 
Chebychev  	 0.49 	 0.46 	 0.61 	0.53 
CityBlock  	 0.45 	 0.42 	 0.59 	0.49 
Correlation 	 0.59 	 0.59 	 0.71 	0.64 
Cosine     	 0.55 	 0.53 	 0.66 	0.60 
Euclidean  	 0.45 	 0.43 	 0.59 	0.49 
Hamming    	 0.38 	 0.32 	 0.51 	0.42 
Jaccard    	 0.35 	 0.30 	 0.51 	0.39 
Minkowski  	 0.45 	 0.43 	 0.59 	0.49 
dtw        	 0.36 	 0.34 	 0.56 	0.41 
mt-lmnn    	 0.50 	 0.48 	 0.63 	0.55 
seuclidean 	 -0.00 	 -0.00 	 0.49 	0.05 
================================================== 
hvalue     	 1.00 	 1.00 	 1.00 	1.00 
pvalue     	 0.00 	 0.00 	 0.00 	0.00 
